person_id,income,debt,late_payments,loan_amount
ID_000,12472,2870,1,344075
ID_001,4058,3293,7,306390
ID_002,2917,1662,2,50030
ID_003,5282,2758,5,362486
ID_004,13023,2298,5,454106
ID_005,9960,1482,3,262587
ID_006,5470,3451,6,344920
ID_007,9325,2904,2,358026
ID_008,10420,3610,9,68666
ID_009,10484,1423,1,463129
ID_010,9958,4608,2,25421
ID_011,9618,4700,7,39549
ID_012,8968,2358,2,372487
ID_013,12264,3841,2,131130
ID_014,5221,770,1,353646
ID_015,5543,3747,8,81139
ID_016,9118,3100,5,204314
ID_017,13038,3704,6,36795
ID_018,12641,2322,0,192852
ID_019,4951,4396,1,211195
ID_020,3606,2235,2,406904
ID_021,2689,4169,2,292320
ID_022,7589,1936,7,120906
ID_023,14576,565,9,394489
ID_024,12039,1766,7,175766
ID_025,8930,3296,5,175470
ID_026,14287,3210,2,162455
ID_027,13163,3251,8,414152
ID_028,11452,3576,7,335048
ID_029,5143,3671,4,466829
ID_030,9539,709,0,199487
ID_031,4620,4747,7,30152
ID_032,6419,1516,5,100900
ID_033,5617,2127,5,269593
ID_034,2527,767,4,128923
ID_035,12210,1079,4,192487
ID_036,13250,2852,4,303012
ID_037,4782,2265,8,439958
ID_038,14038,3456,2,440192
ID_039,6273,4438,5,37608
ID_040,10587,3273,9,12911
ID_041,8355,3516,1,325598
ID_042,10895,3050,7,397631
ID_043,12880,3942,1,394562
ID_044,4524,4016,7,388401
ID_045,12507,3945,5,398100
ID_046,9787,2037,6,15228
ID_047,4575,4411,9,170095
ID_048,6110,1862,4,38625
ID_049,7633,1385,1,266700
ID_050,12409,634,4,163559
ID_051,14994,327,5,70265
ID_052,9381,4431,4,498412
ID_053,5255,777,4,323113
ID_054,2069,2333,3,289441
ID_055,11203,1802,6,95135
ID_056,2714,4850,8,216219
ID_057,11160,1852,9,435006
ID_058,13352,4728,2,485218
ID_059,3585,4063,0,33899
ID_060,14150,4949,3,154835
ID_061,2620,4733,6,328482
ID_062,12325,4593,2,241117
ID_063,6050,4391,1,433169
ID_064,3746,2342,2,180161
ID_065,8870,289,3,450789
ID_066,4111,802,8,220642
ID_067,8959,1693,7,420457
ID_068,4371,3985,7,278603
ID_069,8788,607,4,29793
ID_070,10094,4177,5,38268
ID_071,7351,3443,1,359173
ID_072,13678,2108,9,121118
ID_073,2910,4739,8,229390
ID_074,4092,2320,7,124702
ID_075,14674,2334,0,335521
ID_076,12027,4923,9,204275
ID_077,3245,3704,1,124026
ID_078,3383,4024,9,97946
ID_079,2366,4489,6,210493
ID_080,2641,1523,8,406796
ID_081,7809,3265,2,486215
ID_082,5237,3512,0,144662
ID_083,5363,4232,9,281826
ID_084,4295,238,1,475942
ID_085,2986,1236,3,277774
ID_086,14829,486,6,473053
ID_087,6127,2814,1,64014
ID_088,4413,301,9,446970
ID_089,3999,1646,4,189974
ID_090,7018,3952,4,101836
ID_091,9258,4098,2,193229
ID_092,7905,449,4,382512
ID_093,9734,528,5,247065
ID_094,14161,776,3,449579
ID_095,3331,2562,3,317874
ID_096,6376,917,6,76715
ID_097,2634,100,9,247523
ID_098,13248,2004,0,409987
ID_099,8930,3849,1,272932
ID_100,2668,4714,1,383966
ID_101,12415,2041,6,105515
ID_102,4243,2202,9,355920
ID_103,7948,4483,1,117819
ID_104,12667,1197,8,367422
ID_105,14306,705,2,314268
ID_106,12767,2805,6,148103
ID_107,12420,2050,6,81604
ID_108,3145,909,5,389195
ID_109,12106,221,6,55368
ID_110,7158,3599,2,397125
ID_111,9605,819,3,450915
ID_112,9569,1157,8,63717
ID_113,12272,1312,9,271063
ID_114,3225,1425,1,259260
ID_115,3465,1357,0,352287
ID_116,4179,1580,9,201854
ID_117,5962,241,2,262641
ID_118,3725,4113,6,446599
ID_119,12268,1292,5,287113
ID_120,12241,2272,1,100562
ID_121,11898,2669,6,378576
ID_122,13563,1775,2,102435
ID_123,12342,2670,5,240958
ID_124,2761,2541,7,208181
ID_125,4970,4934,8,355010
ID_126,6228,4450,2,430494
ID_127,7378,3562,2,318841
ID_128,13719,4940,9,418372
ID_129,5296,1793,2,265113
ID_130,10454,2034,5,269047
ID_131,14844,2027,2,384767
ID_132,6122,85,6,457107
ID_133,7451,23,0,311047
ID_134,5107,1253,2,85186
ID_135,12497,3427,5,437127
ID_136,10466,2940,0,41638
ID_137,2747,1336,2,204974
ID_138,9175,1211,8,349305
ID_139,4227,1164,2,454834
ID_140,8795,1065,5,378817
ID_141,6349,3257,2,250771
ID_142,10206,578,0,52231
